***********************************
* dE/dx data from Fluka 2011.2b-3
* for PROTON (Z=1), 4-HELIUM (Z=2)
* and HEAVYION (Z>=3)
* for ALUMINUMOXIDE (ICRU #106)
* given in keV/µm!
*
* SG, 2015-01-15
***********************************
Z E.MeV.u dE.dx.keV.um
2 2.82E+02 4.72E+00
2 2.93E+02 4.62E+00
2 3.03E+02 4.53E+00
2 3.14E+02 4.44E+00
2 3.26E+02 4.36E+00
2 3.38E+02 4.28E+00
2 3.50E+02 4.20E+00
2 3.62E+02 4.13E+00
2 3.75E+02 4.06E+00
2 3.89E+02 3.99E+00
2 4.03E+02 3.92E+00
2 4.17E+02 3.86E+00
2 4.32E+02 3.80E+00
2 4.47E+02 3.74E+00
2 4.62E+02 3.69E+00
2 4.78E+02 3.63E+00
2 4.95E+02 3.58E+00
2 5.12E+02 3.53E+00
2 5.30E+02 3.48E+00
2 5.48E+02 3.44E+00
2 5.66E+02 3.39E+00
2 5.85E+02 3.35E+00
2 6.05E+02 3.31E+00
2 6.25E+02 3.27E+00
2 6.46E+02 3.24E+00
2 6.68E+02 3.20E+00
2 6.90E+02 3.17E+00
2 7.12E+02 3.13E+00
2 7.35E+02 3.10E+00
2 7.59E+02 3.07E+00
2 7.84E+02 3.05E+00
2 8.09E+02 3.02E+00
2 8.35E+02 2.99E+00
2 8.61E+02 2.97E+00
2 8.88E+02 2.95E+00
2 9.16E+02 2.93E+00
2 9.45E+02 2.90E+00
2 9.74E+02 2.88E+00
2 1.00E+03 2.87E+00
2 1.04E+03 2.85E+00
2 1.07E+03 2.83E+00
2 1.10E+03 2.81E+00
2 1.13E+03 2.80E+00
2 1.17E+03 2.79E+00
2 1.20E+03 2.77E+00
2 1.24E+03 2.76E+00
2 1.28E+03 2.75E+00
2 1.31E+03 2.74E+00
2 1.35E+03 2.72E+00
2 1.39E+03 2.71E+00
2 1.43E+03 2.71E+00
2 1.47E+03 2.70E+00
2 1.52E+03 2.69E+00
2 1.56E+03 2.68E+00
2 1.60E+03 2.67E+00
2 1.65E+03 2.67E+00
2 1.70E+03 2.66E+00
2 1.74E+03 2.66E+00
2 1.79E+03 2.65E+00
2 1.84E+03 2.65E+00
2 1.89E+03 2.64E+00
2 1.95E+03 2.64E+00
2 2.00E+03 2.63E+00
2 2.05E+03 2.63E+00
2 2.11E+03 2.63E+00
2 2.17E+03 2.63E+00
2 2.23E+03 2.62E+00
2 2.29E+03 2.62E+00
2 2.35E+03 2.62E+00
2 2.41E+03 2.62E+00
2 2.47E+03 2.62E+00
2 2.54E+03 2.62E+00
2 2.61E+03 2.62E+00
2 2.67E+03 2.62E+00
2 2.74E+03 2.62E+00
2 2.82E+03 2.62E+00
2 2.89E+03 2.62E+00
2 2.96E+03 2.62E+00
2 3.04E+03 2.62E+00
2 3.12E+03 2.63E+00
2 3.20E+03 2.63E+00
2 3.28E+03 2.63E+00
2 3.36E+03 2.63E+00
2 3.45E+03 2.63E+00
2 3.53E+03 2.64E+00
2 3.62E+03 2.64E+00
2 3.71E+03 2.64E+00
2 3.80E+03 2.64E+00
6 1.22E-02 5.59E+02
6 1.28E-02 5.73E+02
6 1.33E-02 5.88E+02
6 1.39E-02 6.04E+02
6 1.44E-02 6.20E+02
6 1.50E-02 6.36E+02
6 1.57E-02 6.53E+02
6 1.63E-02 6.70E+02
6 1.70E-02 6.88E+02
6 1.77E-02 7.06E+02
6 1.85E-02 7.24E+02
6 1.92E-02 7.43E+02
6 2.00E-02 7.63E+02
6 2.09E-02 7.83E+02
6 2.18E-02 8.03E+02
6 2.27E-02 8.23E+02
6 2.36E-02 8.45E+02
6 2.46E-02 8.66E+02
6 2.56E-02 8.88E+02
6 2.67E-02 9.11E+02
6 2.78E-02 9.34E+02
6 2.90E-02 9.57E+02
6 3.02E-02 9.81E+02
6 3.15E-02 1.01E+03
6 3.28E-02 1.03E+03
6 3.42E-02 1.05E+03
6 3.56E-02 1.08E+03
6 3.71E-02 1.11E+03
6 3.87E-02 1.13E+03
6 4.03E-02 1.16E+03
6 4.20E-02 1.19E+03
6 4.37E-02 1.21E+03
6 4.56E-02 1.24E+03
6 4.75E-02 1.27E+03
6 4.95E-02 1.30E+03
6 5.15E-02 1.33E+03
6 5.37E-02 1.36E+03
6 5.59E-02 1.39E+03
6 5.83E-02 1.42E+03
6 6.07E-02 1.45E+03
6 6.33E-02 1.48E+03
6 6.59E-02 1.51E+03
6 6.87E-02 1.54E+03
6 7.16E-02 1.57E+03
6 7.46E-02 1.60E+03
6 7.77E-02 1.64E+03
6 8.10E-02 1.67E+03
6 8.43E-02 1.70E+03
6 8.79E-02 1.73E+03
6 9.16E-02 1.76E+03
6 9.54E-02 1.79E+03
6 9.94E-02 1.82E+03
6 1.04E-01 1.85E+03
6 1.08E-01 1.89E+03
6 1.12E-01 1.91E+03
6 1.17E-01 1.94E+03
