D.Gy	Survival	Sur.min	Sur.max	Sur.Err Z beta zzbb LET Init.Energy
    64	   0.512  3.480e+1   3.34e+1   3.62e+1   1.40e+0   6.0      2.061e-1   846.74     910.0    135.0
    65	   0.638  2.800e+1   2.66e+1   2.88e+1   1.40e+0   6.0      2.061e-1   846.74     910.0    135.0
    66	   1.0    1.140e+1   1.11e+1   1.79e+1   0.30e+0   6.0      2.061e-1   846.74     910.0    135.0
    67	   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0   6.0      2.021e-1   880.26     940.0    135.0
    68	   0.11   6.780e+1   6.40e+1   7.00e+1   3.80e+0   6.0      2.021e-1   880.26     940.0    135.0
    69	   0.23   5.330e+1   5.12e+1   5.50e+1   2.10e+0   6.0      2.021e-1   880.26     940.0    135.0
    70	   0.48   3.000e+1   2.80e+1   3.10e+1   2.00e+0   6.0      2.021e-1   880.26     940.0    135.0
    71	   0.60   2.800e+1   2.70e+1   2.90e+1   0.30e+0   6.0      2.021e-1   880.26     940.0    135.0
    72	   0.997  1.040e+1   1.03e+1   1.05e+1   0.30e+0   6.0      2.021e-1   880.26     940.0    135.0
    73	   1.46   0.400e+1   0.39e+1   0.43e+1   0.10e+0   6.0      2.021e-1   880.26     940.0    135.0
    74	   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0   6.0      1.971e-1   925.38     980.0    135.0
    75	   0.46   2.300e+1   2.06e+1   2.52e+1   2.40e+0   6.0      1.971e-1   925.38     980.0    135.0
    76	   0.95   0.690e+1   0.60e+1   0.77e+1   1.00e+0   6.0      1.971e-1   925.38     980.0    135.0
    300			1.45			2.77							2.76						2.78						0.02   6.0      1.971e-1   925.38     980.0    135.0						
    301			1.95			2.1							 2.09						2.11						0.02   6.0      1.971e-1   925.38     980.0    135.0						    
    77	   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0   10.0      5.645e-1  313.76     450.0    230.0
    78	   0.5    5.800e+1   5.60e+1   6.10e+1   2.00e+0   10.0      5.645e-1  313.76     450.0    230.0
    79	   1.0    3.300e+1   3.10e+1   3.50e+1   2.00e+0   10.0      5.645e-1  313.76     450.0    230.0
    80	   2.0    1.240e+1   0.97e+1   1.50e+1   0.70e+0   10.0      5.645e-1  313.76     450.0    230.0
    81	   3.0    0.420e+1   0.40e+1   0.44e+1   0.20e+0   10.0      5.645e-1  313.76     450.0    230.0
    82	   4.0    0.120e+1   0.10e+1   0.15e+1   0.20e+0   10.0      5.645e-1  313.76     450.0    230.0
    83	   5.0    0.023e+1   0.02e+1   0.03e+1   0.01e+0   10.0      5.645e-1  313.76     450.0    230.0
    84	   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0   10.0      4.825e-1   429.53    590.0    230.0
    85	   0.5    6.600e+1   6.10e+1   7.30e+1   5.00e+0   10.0      4.825e-1   429.53    590.0    230.0
    86	   1.2    2.400e+1   2.10e+1   2.70e+1   3.00e+0   10.0      4.825e-1   429.53    590.0    230.0
    87	   1.5    2.000e+1   1.53e+1   2.46e+1   4.70e+0   10.0      4.825e-1   429.53    590.0    230.0
    88	   2.5    0.550e+1   0.52e+1   0.62e+1   0.30e+0   10.0      4.825e-1   429.53    590.0    230.0
    89	   3.5    0.140e+1   0.12e+1   0.16e+1   0.20e+0   10.0      4.825e-1   429.53    590.0    230.0
    90	   4.5    0.024e+1   0.02e+1   0.03e+1   0.06e+0   10.0      4.825e-1   429.53    590.0    230.0
    91	   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0   10.0      4.135e-1   584.72    770.0    230.0
    92	   0.5    4.700e+1   4.00e+1   5.50e+1   7.00e+0   10.0      4.135e-1   584.72    770.0    230.0
    93	   1.16   1.700e+1   1.40e+1   2.00e+1   3.00e+0   10.0      4.135e-1   584.72    770.0    230.0
    94	   1.45   1.200e+1   1.18e+1   1.25e+1   0.20e+0   10.0      4.135e-1   584.72    770.0    230.0
    95	   2.0    0.460e+1   0.40e+1   0.51e+1   0.60e+0   10.0      4.135e-1   584.72    770.0    230.0
    96	   3.0    0.100e+1   0.09e+1   0.11e+1   0.10e+0   10.0      4.135e-1   584.72    770.0    230.0
    97	   3.9    0.020e+1   0.01e+1   0.02e+1   0.04e+0   10.0      4.135e-1   584.72    770.0    230.0
    98	   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0   10.0      3.454e-1   837.87    1050.0    230.0
    99	   1.5    0.600e+1   0.52e+1   0.76e+1   0.80e+0   10.0      3.454e-1   837.87    1050.0    230.0
   100	   2.27   0.200e+1   0.16e+1   0.24e+1   0.40e+0   10.0      3.454e-1   837.87    1050.0    230.0
   101	   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0   10.0      3.023e-1   1093.60   1320.0    230.0
   102	   0.7    2.500e+1   2.47e+1   2.54e+1   1.00e+0   10.0      3.023e-1   1093.60   1320.0    230.0
   103	   1.0    1.000e+1   0.89e+1   1.24e+1   0.20e+0   10.0      3.023e-1   1093.60   1320.0    230.0
   104	   1.44   0.630e+1   0.58e+1   0.70e+1   0.50e+0   10.0      3.023e-1   1093.60   1320.0    230.0
   105	   2.16   0.122e+1   0.11e+1   0.14e+1   0.12e+0   10.0      3.023e-1   1093.60   1320.0    230.0
   106	   2.9    0.044e+1   0.04e+1   0.05e+1   0.10e+0   10.0      3.023e-1   1093.60   1320.0    230.0
   107	   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0   10.0      2.720e-1   1349.55   1580.0    230.0
   108	   0.67   3.000e+1   3.30e+1   2.80e+1   3.00e+0   10.0      2.720e-1   1349.55   1580.0    230.0
   109	   1.0    1.440e+1   1.04e+1   1.77e+1   4.00e+0   10.0      2.720e-1   1349.55   1580.0    230.0
   110	   1.34   0.857e+1   0.56e+1   1.10e+1   2.98e+0   10.0      2.720e-1   1349.55   1580.0    230.0
   111	   2.0    0.224e+1   0.15e+1   0.28e+1   0.78e+0   10.0      2.720e-1   1349.55   1580.0    230.0
