***********************************
* dE/dx data from Fluka 2011.2b-3
* for PROTON (Z=1), 4-HELIUM (Z=2)
* and HEAVYION (Z>=3)
* for WATER, but with customized
* I-value (76.8 eV)
*
* SG, 2015-01-15
***********************************
Z E.MeV.u dE.dx.MeV.cm2.g
1 1.36E+03 2.08E-01
1 1.40E+03 2.08E-01
1 1.43E+03 2.07E-01
1 1.47E+03 2.06E-01
1 1.51E+03 2.06E-01
1 1.55E+03 2.05E-01
1 1.59E+03 2.05E-01
1 1.63E+03 2.04E-01
1 1.67E+03 2.03E-01
1 1.71E+03 2.03E-01
1 1.75E+03 2.03E-01
1 1.80E+03 2.02E-01
1 1.84E+03 2.02E-01
1 1.89E+03 2.01E-01
1 1.94E+03 2.01E-01
1 1.98E+03 2.01E-01
1 2.03E+03 2.01E-01
1 2.08E+03 2.00E-01
1 2.13E+03 2.00E-01
1 2.19E+03 2.00E-01
1 2.24E+03 2.00E-01
1 2.29E+03 2.00E-01
1 2.35E+03 1.99E-01
1 2.40E+03 1.99E-01
1 2.46E+03 1.99E-01
1 2.52E+03 1.99E-01
1 2.58E+03 1.99E-01
1 2.64E+03 1.99E-01
1 2.70E+03 1.99E-01
1 2.77E+03 1.99E-01
1 2.83E+03 1.99E-01
1 2.90E+03 1.99E-01
1 2.96E+03 1.99E-01
1 3.03E+03 1.99E-01
1 3.10E+03 1.99E-01
1 3.17E+03 1.99E-01
1 3.25E+03 1.99E-01
1 3.32E+03 1.99E-01
1 3.40E+03 1.99E-01
1 3.47E+03 2.00E-01
1 3.55E+03 2.00E-01
1 3.63E+03 2.00E-01
1 3.71E+03 2.00E-01
1 3.80E+03 2.00E-01
2 1.23E-02 7.82E+01
2 1.28E-02 7.99E+01
2 1.33E-02 8.17E+01
2 1.39E-02 8.34E+01
2 1.44E-02 8.52E+01
2 1.50E-02 8.71E+01
2 1.57E-02 8.90E+01
2 1.63E-02 9.09E+01
2 1.70E-02 9.29E+01
2 1.77E-02 9.48E+01
2 1.85E-02 9.69E+01
2 1.92E-02 9.90E+01
2 2.01E-02 1.01E+02
2 2.09E-02 1.03E+02
2 2.18E-02 1.05E+02
2 2.27E-02 1.08E+02
2 2.36E-02 1.10E+02
2 2.46E-02 1.12E+02
2 2.57E-02 1.15E+02
2 2.67E-02 1.17E+02
2 2.79E-02 1.19E+02
2 2.90E-02 1.22E+02
2 3.02E-02 1.24E+02
2 3.15E-02 1.27E+02
2 3.28E-02 1.30E+02
2 3.42E-02 1.32E+02
2 3.56E-02 1.35E+02
2 3.71E-02 1.38E+02
2 3.87E-02 1.40E+02
2 4.03E-02 1.43E+02
2 4.20E-02 1.46E+02
2 4.38E-02 1.49E+02
2 4.56E-02 1.52E+02
2 4.75E-02 1.55E+02
2 4.95E-02 1.57E+02
2 5.16E-02 1.60E+02
2 5.37E-02 1.63E+02
2 5.60E-02 1.66E+02
2 5.83E-02 1.69E+02
2 6.08E-02 1.72E+02
2 6.33E-02 1.75E+02
2 6.60E-02 1.78E+02
2 6.87E-02 1.81E+02
2 7.16E-02 1.84E+02
2 7.46E-02 1.87E+02
2 7.78E-02 1.90E+02
2 8.10E-02 1.93E+02
2 8.44E-02 1.95E+02
2 8.79E-02 1.98E+02
2 9.16E-02 2.01E+02
2 9.55E-02 2.03E+02
2 9.95E-02 2.06E+02
2 1.04E-01 2.08E+02
2 1.08E-01 2.11E+02
2 1.13E-01 2.13E+02
2 1.17E-01 2.15E+02
2 1.22E-01 2.17E+02
2 1.27E-01 2.19E+02
2 1.33E-01 2.20E+02
2 1.38E-01 2.22E+02
2 1.44E-01 2.23E+02
2 1.50E-01 2.24E+02
2 1.56E-01 2.25E+02
2 1.63E-01 2.26E+02
2 1.70E-01 2.26E+02
2 1.77E-01 2.26E+02
2 1.84E-01 2.26E+02
2 1.92E-01 2.26E+02
2 2.00E-01 2.26E+02
2 2.08E-01 2.25E+02
2 2.17E-01 2.24E+02
2 2.26E-01 2.23E+02
2 2.36E-01 2.21E+02
2 2.45E-01 2.20E+02
2 2.56E-01 2.18E+02
2 2.67E-01 2.16E+02
2 2.78E-01 2.14E+02
2 2.89E-01 2.11E+02
2 3.02E-01 2.08E+02
2 3.14E-01 2.05E+02
2 3.27E-01 2.01E+02
2 3.41E-01 1.98E+02
2 3.55E-01 1.94E+02
2 3.70E-01 1.91E+02
2 3.86E-01 1.87E+02
2 4.02E-01 1.84E+02
2 4.19E-01 1.80E+02
2 4.36E-01 1.76E+02
2 4.55E-01 1.72E+02
